dt,vntg_mth,loan_age_m,mob,risk_inst,risk_outsd,channel,project,segment_l1,segment_l2,strategy_tag
2024-07-31,2024-01-01,0,0,1000000,920000,online,现金贷A,high_value,A1,首贷
2024-07-31,2024-01-01,0,1,0,780000,online,现金贷A,high_value,A1,首贷
2024-07-31,2024-01-01,1,1,0,95000,online,现金贷A,high_value,A1,首贷
2024-07-31,2024-01-01,1,2,0,82000,online,现金贷A,high_value,A1,首贷
2024-07-31,2024-01-01,2,2,0,36000,online,现金贷A,high_value,A1,首贷
2024-07-31,2024-01-01,2,3,0,29000,online,现金贷A,high_value,A1,首贷
2024-07-31,2024-01-01,3,3,0,15000,online,现金贷A,high_value,A1,首贷
2024-07-31,2024-01-01,4,4,0,9000,online,现金贷A,high_value,A1,首贷
2024-07-31,2024-01-01,5,5,0,5000,online,现金贷A,high_value,A1,首贷
2024-07-31,2024-01-01,6,6,0,2600,online,现金贷A,high_value,A1,首贷
2024-07-31,2024-01-01,7,7,0,1400,online,现金贷A,high_value,A1,首贷
2024-07-31,2024-01-01,8,8,0,800,online,现金贷A,high_value,A1,首贷
2024-07-31,2024-02-01,0,0,1200000,1110000,offline,现金贷B,mass,B2,复贷
2024-07-31,2024-02-01,0,1,0,910000,offline,现金贷B,mass,B2,复贷
2024-07-31,2024-02-01,1,1,0,120000,offline,现金贷B,mass,B2,复贷
2024-07-31,2024-02-01,1,2,0,103000,offline,现金贷B,mass,B2,复贷
2024-07-31,2024-02-01,2,2,0,42000,offline,现金贷B,mass,B2,复贷
2024-07-31,2024-02-01,3,3,0,17000,offline,现金贷B,mass,B2,复贷
2024-07-31,2024-02-01,4,4,0,10000,offline,现金贷B,mass,B2,复贷
2024-07-31,2024-02-01,8,8,0,1100,offline,现金贷B,mass,B2,复贷
